 15:49:40 up 17:49,  4 users,  load average: 0.37, 1.01, 1.71
 15:51:35 up 17:51,  4 users,  load average: 0.27, 0.75, 1.53
 15:51:57 up 17:51,  5 users,  load average: 0.19, 0.70, 1.50
 15:52:17 up 17:52,  5 users,  load average: 0.14, 0.65, 1.47
 15:52:26 up 17:52,  5 users,  load average: 0.27, 0.66, 1.46
 15:52:35 up 17:52,  5 users,  load average: 0.38, 0.68, 1.46
 15:52:42 up 17:52,  4 users,  load average: 0.35, 0.66, 1.45
